Stationsname,Jahr,Monat,JahrMonat,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben,t
Alteglofsheim,2025,1,2025-01,2,10.05,177.0,66.3,36.3,1
Donaustauf,2025,1,2025-01,4,16.78,245.0,103.21,13.55,2
Hainsacker,2025,1,2025-01,0,0.0,0.0,6.0,0.0,3
Köfering,2025,1,2025-01,1,10.28,252.0,78.71,48.71,4
Laaber,2025,1,2025-01,20,52.82,1121.0,430.42,375.56,5
Lappersdorf,2025,1,2025-01,6,21.96,289.0,131.37,35.39,6
Neutraubling,2025,1,2025-01,10,79.06,474.0,301.53,150.46,7
Nittendorf,2025,1,2025-01,19,168.06,2102.0,882.12,817.12,8
Pentling,2025,1,2025-01,11,43.83,374.0,240.20000000000002,100.82,9
Pettendorf,2025,1,2025-01,1,10.4,49.0,38.14,38.14,10
Regenstauf,2025,1,2025-01,2,12.690000000000001,157.0,67.03999999999999,19.55,11
Schierling,2025,1,2025-01,3,13.26,497.0,138.3,78.3,12
Sinzing,2025,1,2025-01,2,6.03,121.0,46.33,0.0,13
Wenzenbach,2025,1,2025-01,7,58.0,239.0,212.03,182.03,14
Alteglofsheim,2025,2,2025-02,8,47.12,272.0,201.46,123.55000000000001,15
Donaustauf,2025,2,2025-02,13,47.72,792.0,325.40999999999997,98.16,16
Hainsacker,2025,2,2025-02,6,16.72,408.0,138.26,29.07,17
Köfering,2025,2,2025-02,8,42.55,716.0,269.08,169.07999999999998,18
Laaber,2025,2,2025-02,30,84.9,1454.0,613.4,554.22,19
Lappersdorf,2025,2,2025-02,14,75.03999999999999,919.0,409.40000000000003,269.78000000000003,20
Neutraubling,2025,2,2025-02,18,148.04999999999998,819.0,542.58,404.75,21
Nittendorf,2025,2,2025-02,24,178.35,1886.0,883.49,796.72,22
Pentling,2025,2,2025-02,16,88.88,1171.0,500.91,372.83,23
Regenstauf,2025,2,2025-02,8,32.89,968.0,318.3,232.79000000000002,24
Schierling,2025,2,2025-02,1,2.8,45.0,18.05,0.0,25
Sinzing,2025,2,2025-02,13,26.77,544.0,213.89000000000001,29.11,26
Wenzenbach,2025,2,2025-02,7,54.71,362.0,228.03,151.51,27
Alteglofsheim,2025,3,2025-03,4,15.149999999999999,131.0,79.00999999999999,43.839999999999996,28
Donaustauf,2025,3,2025-03,18,60.33,879.0,417.64,312.2,29
Hainsacker,2025,3,2025-03,5,14.96,205.0,93.37,36.97,30
Köfering,2025,3,2025-03,7,57.45,334.0,220.17000000000002,180.17000000000002,31
Laaber,2025,3,2025-03,9,21.990000000000002,322.0,153.89,110.28999999999999,32
Lappersdorf,2025,3,2025-03,10,39.07,430.0,227.34,133.58,33
Neutraubling,2025,3,2025-03,22,184.56,1511.0,790.27,651.06,34
Nittendorf,2025,3,2025-03,17,107.8,1158.0,561.54,511.53999999999996,35
Pentling,2025,3,2025-03,11,34.33,443.0,228.42,179.03,36
Regenstauf,2025,3,2025-03,13,97.82000000000001,2118.0,666.74,573.22,37
Sinzing,2025,3,2025-03,8,25.56,377.0,179.37,82.68,38
Wenzenbach,2025,3,2025-03,7,21.35,337.0,152.98000000000002,10.3,39
Alteglofsheim,2025,4,2025-04,1,20.9,52.0,62.38,62.38,40
Donaustauf,2025,4,2025-04,16,95.19,1152.0,524.24,453.92,41
Hainsacker,2025,4,2025-04,7,26.720000000000002,344.0,163.87,97.94,42
Köfering,2025,4,2025-04,4,6.52,130.0,55.449999999999996,45.449999999999996,43
Laaber,2025,4,2025-04,11,27.95,524.0,213.97,123.97,44
Lappersdorf,2025,4,2025-04,6,24.51,207.0,118.83,90.69,45
Neutraubling,2025,4,2025-04,15,163.68,1406.0,738.45,648.74,46
Nittendorf,2025,4,2025-04,7,46.7,629.0,269.17,219.17,47
Pentling,2025,4,2025-04,16,117.03,1727.0,742.37,672.16,48
Pettendorf,2025,4,2025-04,2,12.100000000000001,157.0,66.21,66.21,49
Regenstauf,2025,4,2025-04,10,30.54,405.0,192.07999999999998,112.52000000000001,50
Schierling,2025,4,2025-04,2,4.28,109.0,41.59,5.63,51
Sinzing,2025,4,2025-04,10,22.33,442.0,175.02,99.21000000000001,52
Wenzenbach,2025,4,2025-04,7,14.92,304.0,111.73,93.07,53
Alteglofsheim,2025,5,2025-05,1,2.33,32.0,14.46,4.46,54
Donaustauf,2025,5,2025-05,16,103.95,1251.0,625.31,597.64,55
Hainsacker,2025,5,2025-05,6,9.93,96.0,61.96,51.96,56
Köfering,2025,5,2025-05,3,13.59,275.0,96.58,96.58,57
Laaber,2025,5,2025-05,8,15.82,149.0,145.82,125.82,58
Lappersdorf,2025,5,2025-05,7,45.019999999999996,689.0,269.49,259.49,59
Neutraubling,2025,5,2025-05,20,220.96,1448.0,847.42,787.42,60
Nittendorf,2025,5,2025-05,9,126.63000000000001,1545.0,650.39,620.39,61
Pentling,2025,5,2025-05,10,36.22,542.0,230.26000000000002,170.26,62
Pettendorf,2025,5,2025-05,4,19.59,249.0,117.64,107.64,63
Regenstauf,2025,5,2025-05,8,56.95,520.0,263.14,238.64,64
Schierling,2025,5,2025-05,2,7.6,159.0,61.959999999999994,51.96,65
Sinzing,2025,5,2025-05,9,27.85,340.0,165.24,165.24,66
Wenzenbach,2025,5,2025-05,2,13.63,81.0,56.01,56.01,67
Alteglofsheim,2025,6,2025-06,3,9.399999999999999,114.0,54.75,44.75,68
Donaustauf,2025,6,2025-06,12,40.54,416.0,229.08,219.08,69
Hainsacker,2025,6,2025-06,1,2.17,17.0,11.81,1.81,70
Köfering,2025,6,2025-06,6,30.45,340.0,165.24,155.24,71
Laaber,2025,6,2025-06,7,21.13,241.0,123.0,80.5,72
Lappersdorf,2025,6,2025-06,11,91.87,798.0,370.88,350.88,73
Neutraubling,2025,6,2025-06,18,205.96,775.0,590.47,580.47,74
Nittendorf,2025,6,2025-06,12,75.11,882.0,392.78999999999996,352.78999999999996,75
Pentling,2025,6,2025-06,17,87.91,903.0,424.35,374.59,76
Pettendorf,2025,6,2025-06,5,23.43,274.0,122.4,122.4,77
Regenstauf,2025,6,2025-06,17,70.0,1976.0,623.15,583.15,78
Schierling,2025,6,2025-06,3,12.0,205.0,83.96000000000001,83.96000000000001,79
Sinzing,2025,6,2025-06,8,44.980000000000004,483.0,242.10999999999999,233.43,80
Wenzenbach,2025,6,2025-06,2,14.22,69.0,53.82,43.82,81
Alteglofsheim,2025,7,2025-07,4,11.32,137.0,66.91,56.910000000000004,82
Donaustauf,2025,7,2025-07,14,61.45,592.0,325.87,282.39,83
Hainsacker,2025,7,2025-07,8,58.160000000000004,358.0,235.24,225.24,84
Köfering,2025,7,2025-07,3,39.35,523.0,187.62,187.62,85
Laaber,2025,7,2025-07,14,21.689999999999998,335.0,155.78,148.26,86
Lappersdorf,2025,7,2025-07,12,42.519999999999996,416.0,229.93,199.93,87
Neutraubling,2025,7,2025-07,19,91.95,1106.0,477.95,441.05,88
Nittendorf,2025,7,2025-07,13,204.99,2106.0,748.36,728.36,89
Pentling,2025,7,2025-07,18,190.98,1536.0,758.35,668.35,90
Pettendorf,2025,7,2025-07,11,78.59,703.0,358.46000000000004,358.46000000000004,91
Regenstauf,2025,7,2025-07,18,61.21,1306.0,420.43,380.43,92
Schierling,2025,7,2025-07,1,2.4,52.0,39.71,29.71,93
Sinzing,2025,7,2025-07,21,70.15,986.0,448.41,439.69,94
Wenzenbach,2025,7,2025-07,5,38.31,211.0,155.08,146.01,95
Alteglofsheim,2025,8,2025-08,3,13.85,150.0,76.42,66.42,96
Donaustauf,2025,8,2025-08,9,36.93,447.0,220.64,182.14,97
Hainsacker,2025,8,2025-08,0,0.0,0.0,0.0,0.0,98
Köfering,2025,8,2025-08,5,23.93,428.0,159.87,159.87,99
Laaber,2025,8,2025-08,6,8.68,75.0,49.59,49.59,100
Lappersdorf,2025,8,2025-08,8,46.6,469.0,228.94,218.94,101
Neutraubling,2025,8,2025-08,22,85.24,964.0,470.64,450.64,102
Nittendorf,2025,8,2025-08,7,139.98000000000002,979.0,486.51,476.51,103
Pentling,2025,8,2025-08,20,135.24,1279.0,596.28,566.28,104
Pettendorf,2025,8,2025-08,4,71.99000000000001,404.0,223.18,223.18,105
Regenstauf,2025,8,2025-08,9,100.97999999999999,1140.0,470.56,452.81,106
Schierling,2025,8,2025-08,2,16.4,212.0,96.99,96.99,107
Sinzing,2025,8,2025-08,15,98.16,934.0,427.52,417.52,108
Wenzenbach,2025,8,2025-08,4,28.48,127.0,146.54,146.54,109
Alteglofsheim,2025,9,2025-09,2,5.88,200.0,62.25,53.53,110
Donaustauf,2025,9,2025-09,9,41.14,565.0,254.98,227.48,111
Hainsacker,2025,9,2025-09,8,32.46,645.0,233.18,213.18,112
Köfering,2025,9,2025-09,2,51.82,152.0,185.63000000000002,185.63000000000002,113
Laaber,2025,9,2025-09,9,85.7,398.0,278.21,268.21,114
Lappersdorf,2025,9,2025-09,19,68.78999999999999,1079.0,475.24,450.24,115
Neutraubling,2025,9,2025-09,23,151.04,1335.0,643.3100000000001,613.83,116
Nittendorf,2025,9,2025-09,1,3.7,67.0,24.65,24.65,117
Pentling,2025,9,2025-09,12,47.6,942.0,351.67999999999995,326.67999999999995,118
Pettendorf,2025,9,2025-09,2,18.3,230.0,90.16,90.16,119
Regenstauf,2025,9,2025-09,9,63.620000000000005,1667.0,478.85,428.85,120
Schierling,2025,9,2025-09,6,43.99,551.0,237.81,237.81,121
Sinzing,2025,9,2025-09,15,53.08,548.0,337.59999999999997,323.59999999999997,122
Wenzenbach,2025,9,2025-09,6,65.0,245.0,229.38,229.38,123
Alteglofsheim,2025,10,2025-10,3,14.5,200.0,85.92,75.92,124
Donaustauf,2025,10,2025-10,17,52.730000000000004,715.0,344.73,294.73,125
Hainsacker,2025,10,2025-10,5,21.07,456.0,153.43,143.43,126
Köfering,2025,10,2025-10,5,32.91,226.0,144.27,134.27,127
Laaber,2025,10,2025-10,11,24.72,237.0,133.41,133.41,128
Lappersdorf,2025,10,2025-10,20,74.01,1077.0,478.21999999999997,458.21999999999997,129
Neutraubling,2025,10,2025-10,18,61.13,733.0,345.24,325.24,130
Nittendorf,2025,10,2025-10,1,49.53,886.0,252.76,252.76,131
Pentling,2025,10,2025-10,26,82.83,1330.0,591.2,556.2,132
Regenstauf,2025,10,2025-10,10,38.5,868.0,305.27,271.82,133
Schierling,2025,10,2025-10,0,0.0,0.0,0.0,0.0,134
Sinzing,2025,10,2025-10,9,26.96,295.0,149.89,139.89,135
Wenzenbach,2025,10,2025-10,13,68.03,478.0,323.42,313.58,136
Alteglofsheim,2025,11,2025-11,2,33.08,215.0,115.06,105.06,137
Donaustauf,2025,11,2025-11,24,116.22,1102.0,578.95,551.1899999999999,138
Hainsacker,2025,11,2025-11,9,37.94,1199.0,358.43,338.43,139
Köfering,2025,11,2025-11,4,98.7,287.0,263.33,263.33,140
Laaber,2025,11,2025-11,10,16.85,180.0,107.37,90.15,141
Lappersdorf,2025,11,2025-11,26,131.28,1413.0,636.37,606.37,142
Neutraubling,2025,11,2025-11,13,51.43,450.0,256.6,246.6,143
Nittendorf,2025,11,2025-11,8,88.52,1353.0,464.05,454.05,144
Pentling,2025,11,2025-11,18,109.11,1449.0,586.46,491.57,145
Pettendorf,2025,11,2025-11,2,5.33,63.0,31.09,31.09,146
Regenstauf,2025,11,2025-11,15,64.03,974.0,392.63,362.63,147
Sinzing,2025,11,2025-11,13,40.81,580.0,285.59000000000003,275.59000000000003,148
Wenzenbach,2025,11,2025-11,11,89.58,549.0,365.71,365.71,149
Alteglofsheim,2025,12,2025-12,2,6.1000000000000005,44.0,30.82,10.82,150
Donaustauf,2025,12,2025-12,20,89.67999999999999,1122.0,514.86,474.86,151
Hainsacker,2025,12,2025-12,11,33.28,302.0,176.69,156.69,152
Köfering,2025,12,2025-12,2,5.53,50.0,32.0,32.0,153
Laaber,2025,12,2025-12,18,62.510000000000005,479.0,330.96,290.96,154
Lappersdorf,2025,12,2025-12,20,67.42999999999999,786.0,373.40999999999997,363.40999999999997,155
Neutraubling,2025,12,2025-12,21,88.42,1294.0,558.24,548.24,156
Nittendorf,2025,12,2025-12,4,43.9,229.0,148.09,148.09,157
Pentling,2025,12,2025-12,21,92.83,1319.0,575.73,535.73,158
Pettendorf,2025,12,2025-12,4,13.79,152.0,73.92,73.92,159
Regenstauf,2025,12,2025-12,9,23.12,374.0,166.94,126.94,160
Schierling,2025,12,2025-12,1,2.58,49.0,18.77,8.77,161
Sinzing,2025,12,2025-12,19,70.21,928.0,452.89,452.89,162
Wenzenbach,2025,12,2025-12,2,7.0,32.0,30.29,30.29,163
Alteglofsheim,2026,1,2026-01,2,5.77,237.0,70.66,60.66,164
Donaustauf,2026,1,2026-01,18,72.48,880.0,428.46,398.46,165
Hainsacker,2026,1,2026-01,8,31.84,588.0,247.43,237.52,166
Köfering,2026,1,2026-01,1,2.8,29.0,16.39,16.39,167
Laaber,2026,1,2026-01,14,33.24,429.0,208.15,182.65,168
Lappersdorf,2026,1,2026-01,16,76.0,755.0,384.34,374.34,169
Neutraubling,2026,1,2026-01,18,158.66,941.0,566.68,542.78,170
Pentling,2026,1,2026-01,21,66.15,1084.0,450.77,401.15,171
Pettendorf,2026,1,2026-01,1,5.73,87.0,31.36,31.36,172
Regenstauf,2026,1,2026-01,8,28.68,534.0,218.59,193.69,173
Schierling,2026,1,2026-01,1,7.13,106.0,40.64,40.64,174
Sinzing,2026,1,2026-01,5,16.35,124.0,80.53,80.53,175
Wenzenbach,2026,1,2026-01,2,27.599999999999998,58.0,73.44,73.44,176
Donaustauf,2026,2,2026-02,15,50.19,425.0,280.11,246.11,177
Hainsacker,2026,2,2026-02,6,16.49,499.0,171.06,161.06,178
Köfering,2026,2,2026-02,6,87.66,1022.0,363.67,363.67,179
Laaber,2026,2,2026-02,15,49.03,603.0,282.08,272.08,180
Lappersdorf,2026,2,2026-02,21,135.49,733.0,511.45,483.64,181
Neutraubling,2026,2,2026-02,15,60.17,703.0,334.49,314.49,182
Nittendorf,2026,2,2026-02,4,23.009999999999998,393.0,124.99000000000001,124.99000000000001,183
Pentling,2026,2,2026-02,4,16.55,311.0,121.16,111.16,184
Regenstauf,2026,2,2026-02,5,20.18,612.0,184.07,154.07,185
Schierling,2026,2,2026-02,1,8.97,124.0,50.81,50.81,186
Sinzing,2026,2,2026-02,4,5.72,184.0,62.96,44.17,187
Wenzenbach,2026,2,2026-02,0,0.0,0.0,0.0,0.0,188
Alteglofsheim,2026,3,2026-03,1,1.38,31.0,13.02,13.02,189
Donaustauf,2026,3,2026-03,15,49.22,389.0,244.95,214.95,190
Hainsacker,2026,3,2026-03,13,27.27,366.0,184.37,164.37,191
Köfering,2026,3,2026-03,4,42.0,496.0,190.66,190.66,192
Laaber,2026,3,2026-03,20,34.03,504.0,218.77,203.77,193
Lappersdorf,2026,3,2026-03,20,94.1,790.0,461.11,446.86,194
Neutraubling,2026,3,2026-03,14,110.66999999999999,491.0,349.19,339.19,195
Nittendorf,2026,3,2026-03,2,13.68,308.0,100.46000000000001,90.46000000000001,196
Pentling,2026,3,2026-03,0,0.0,0.0,0.0,0.0,197
Pettendorf,2026,3,2026-03,0,0.0,0.0,0.0,0.0,198
Regenstauf,2026,3,2026-03,10,58.27,1331.0,407.65,387.65,199
Schierling,2026,3,2026-03,1,1.82,42.0,15.27,5.27,200
Sinzing,2026,3,2026-03,19,76.03,973.0,442.39,422.39,201
Wenzenbach,2026,3,2026-03,4,103.56,808.0,373.31,373.31,202
Alteglofsheim,2026,4,2026-04,5,16.82,385.0,152.12,142.12,203
Donaustauf,2026,4,2026-04,11,33.71,450.0,238.13,208.13,204
Hainsacker,2026,4,2026-04,7,22.29,328.0,143.07999999999998,123.08,205
Köfering,2026,4,2026-04,12,74.97,872.0,402.15000000000003,397.15000000000003,206
Laaber,2026,4,2026-04,13,51.04,1003.0,354.13,334.13,207
Lappersdorf,2026,4,2026-04,20,92.21000000000001,1484.0,564.56,534.56,208
Neutraubling,2026,4,2026-04,18,67.08,971.0,397.97,377.97,209
Nittendorf,2026,4,2026-04,8,85.06,575.0,307.08000000000004,297.08000000000004,210
Pentling,2026,4,2026-04,0,0.0,0.0,0.0,0.0,211
Pettendorf,2026,4,2026-04,0,0.0,0.0,0.0,0.0,212
Regenstauf,2026,4,2026-04,8,30.6,390.0,170.85,130.85000000000002,213
Sinzing,2026,4,2026-04,17,98.77,1822.0,642.0,632.0,214
Wenzenbach,2026,4,2026-04,6,39.72,290.0,236.85,236.85,215
